age_cat,c_offense_date,ethnicity,is_violent_recid,sex,v_score_text,vr_offense_date
senior,2014-03-20,African-American,1,Male,Low,2015-07-05
young,2014-01-25,Caucasian,1,Female,Medium,2016-03-13
adult,2013-03-16,Hispanic,1,Male,Medium,2015-07-09
adult,2013-03-24,Caucasian,1,Male,Medium,2015-02-06
adult,2010-12-18,African-American,1,Male,Low,2015-03-14
adult,2013-09-29,African-American,1,Female,Low,2015-12-09
adult,2013-10-11,African-American,1,Male,Low,2013-12-20
adult,2013-01-03,African-American,1,Male,Medium,2013-04-29
young,2013-05-18,Other,1,Male,Medium,2015-03-11
adult,2013-09-26,African-American,1,Female,Low,2014-03-05
adult,2013-05-24,African-American,1,Male,Medium,2014-03-09
adult,,African-American,1,Male,Medium,2014-04-20
adult,2013-02-25,African-American,1,Female,Medium,2013-07-20
adult,,Caucasian,1,Male,Low,2014-03-22
adult,2013-05-03,Other,1,Male,Low,2013-12-20
adult,2014-01-03,African-American,1,Male,Medium,2014-04-02
senior,2013-10-09,Caucasian,1,Male,Low,2015-08-19
adult,2014-07-04,African-American,1,Male,Medium,2015-03-01
adult,2014-01-11,Hispanic,1,Female,Low,2014-08-18
adult,2013-05-06,African-American,1,Male,Medium,2014-06-13
adult,2013-08-27,Caucasian,1,Male,Low,2014-07-01
adult,2013-02-10,Hispanic,1,Male,Low,2015-10-29
young,2013-08-16,African-American,1,Male,Medium,2013-11-01
adult,2013-05-09,Hispanic,1,Male,Medium,2015-06-07
senior,,Caucasian,1,Male,Low,2014-06-06
senior,,African-American,1,Male,Medium,2015-11-29
adult,2013-01-26,African-American,1,Male,Low,2013-06-26
young,,African-American,1,Male,Medium,2015-08-25
adult,,African-American,1,Male,Medium,2016-01-09
adult,2013-10-04,African-American,1,Male,Low,2015-04-13
senior,2013-02-16,Caucasian,1,Male,Medium,2015-01-07
adult,,African-American,1,Male,High,2013-05-18
young,2014-04-17,Other,1,Male,Medium,2014-12-13
adult,2013-06-06,Caucasian,1,Male,Low,2014-08-29
young,2014-04-11,African-American,1,Male,Medium,2015-01-06
young,,African-American,1,Male,Medium,2013-05-03
young,2013-08-21,African-American,1,Male,Medium,2014-04-03
senior,2013-02-20,African-American,1,Male,Low,2016-03-05
senior,2014-01-27,Caucasian,1,Male,Low,2014-03-26
adult,2013-01-13,African-American,1,Male,High,2015-02-25
young,2013-08-19,African-American,1,Male,High,2013-08-24
senior,2014-01-03,Hispanic,1,Male,Low,2015-01-26
adult,,African-American,1,Male,Medium,2013-11-22
young,2013-12-12,Caucasian,1,Male,Medium,2014-06-03
senior,2013-05-25,African-American,1,Male,Medium,2015-04-29
young,2013-01-02,Caucasian,1,Male,High,2014-05-26
adult,,Caucasian,1,Male,Low,2014-10-05
young,2013-04-06,Other,1,Male,High,2014-07-26
young,2014-08-09,African-American,1,Female,Low,2015-12-10
adult,2013-01-12,African-American,1,Male,High,2014-04-01
senior,2013-04-25,Caucasian,1,Male,Low,2015-05-25
adult,2013-02-09,Caucasian,1,Female,Low,2014-07-26
adult,,African-American,1,Male,High,2013-10-16
adult,,African-American,1,Male,Medium,2016-02-17
adult,2013-06-06,Native American,1,Male,High,2013-12-01
adult,2013-09-19,African-American,1,Male,Low,2014-06-23
adult,2013-03-09,African-American,1,Male,Medium,2014-07-29
adult,2013-01-01,African-American,1,Female,Low,2013-03-16
senior,,African-American,1,Male,Low,2015-10-09
adult,2014-01-03,African-American,1,Male,Low,2015-05-27
young,2013-02-12,African-American,1,Male,Medium,2013-09-02
adult,2014-01-24,Caucasian,1,Male,Low,2016-01-01
senior,2013-04-02,Hispanic,1,Male,Low,2014-06-15
senior,2013-12-31,Caucasian,1,Male,Low,2015-10-02
young,2014-08-05,African-American,1,Female,Medium,2014-08-21
adult,2013-03-30,African-American,1,Male,Low,2013-06-06
young,2013-01-25,African-American,1,Female,High,2013-07-07
young,,African-American,1,Male,Medium,2015-09-24
adult,2013-07-20,Caucasian,1,Female,Low,2013-09-01
adult,2013-11-04,Other,1,Male,Low,2014-06-08
adult,2012-10-29,African-American,1,Male,High,2013-11-14
adult,2013-12-07,African-American,1,Male,High,2014-03-22
adult,,African-American,1,Male,High,2015-10-07
senior,2013-05-21,Caucasian,1,Male,Low,2013-11-24
young,2013-05-17,African-American,1,Male,High,2014-06-30
adult,2013-04-19,Caucasian,1,Male,Low,2014-03-14
adult,2013-02-08,African-American,1,Male,Low,2015-02-25
adult,2014-06-08,Native American,1,Male,Medium,2015-12-28
young,2013-11-06,African-American,1,Male,High,2014-08-06
adult,2014-05-29,African-American,1,Male,Low,2015-09-26
adult,2013-01-29,Caucasian,1,Male,Low,2014-05-25
adult,2014-11-13,African-American,1,Male,Medium,2015-10-17
adult,2014-05-28,African-American,1,Male,Medium,2014-06-22
adult,,Hispanic,1,Male,Low,2015-04-06
young,2013-04-26,African-American,1,Male,Medium,2015-12-22
adult,2013-02-27,African-American,1,Male,High,2016-01-07
adult,2013-03-26,Hispanic,1,Male,Medium,2014-01-27
senior,2013-08-14,Caucasian,1,Male,Low,2013-10-29
senior,2013-10-03,Caucasian,1,Male,Low,2014-09-27
adult,2013-05-16,African-American,1,Male,High,2015-05-31
adult,2013-12-07,African-American,1,Male,Low,2014-12-06
young,2013-01-14,African-American,1,Male,Medium,2014-01-04
young,2013-12-16,Caucasian,1,Male,Medium,2014-07-09
adult,2014-02-08,African-American,1,Female,Low,2015-05-24
senior,2013-04-04,African-American,1,Male,Low,2014-03-31
young,2014-03-02,Hispanic,1,Female,Medium,2015-05-05
adult,2014-05-05,African-American,1,Female,Low,2015-09-10
adult,2014-12-11,Caucasian,1,Male,Low,2014-12-26
adult,2014-04-29,African-American,1,Female,Low,2015-09-17
young,2012-11-22,Hispanic,1,Male,High,2014-05-17
adult,2014-05-10,African-American,1,Male,Low,2015-03-29
adult,2014-11-19,Caucasian,1,Male,High,2015-02-07
adult,2013-03-30,African-American,1,Male,Medium,2013-08-15
senior,2013-04-06,Caucasian,1,Male,Low,2013-09-20
adult,2014-01-18,African-American,1,Male,Low,2014-04-15
young,2014-03-24,Hispanic,1,Male,High,2015-09-21
adult,2013-04-06,African-American,1,Male,Low,2013-08-24
adult,,African-American,1,Male,Low,2015-03-29
adult,2012-12-17,African-American,1,Male,Low,2014-09-20
adult,2014-12-10,African-American,1,Male,Low,2015-06-23
adult,2014-11-18,African-American,1,Male,Low,2015-09-04
adult,2013-10-24,Other,1,Male,Medium,2014-01-05
adult,2012-11-20,African-American,1,Female,High,2015-04-23
young,,Hispanic,1,Male,High,2013-06-01
adult,2014-08-26,African-American,1,Male,Medium,2015-11-15
adult,2013-03-03,Caucasian,1,Male,Low,2013-06-07
young,2013-09-18,Caucasian,1,Male,Medium,2015-03-12
adult,,Other,1,Male,Low,2016-03-05
adult,2013-04-26,African-American,1,Male,Low,2014-02-17
adult,,African-American,1,Male,Medium,2014-07-19
adult,2014-05-24,Caucasian,1,Male,High,2014-08-28
adult,,African-American,1,Male,High,2014-06-13
adult,2013-09-18,African-American,1,Male,Medium,2014-05-11
senior,2013-05-10,African-American,1,Male,Low,2014-01-10
adult,2013-03-08,Caucasian,1,Male,Low,2015-12-19
senior,2012-11-26,African-American,1,Female,Low,2014-07-24
young,,African-American,1,Male,Low,2013-10-20
senior,2013-01-12,Caucasian,1,Female,Low,2016-01-25
adult,2014-02-03,Hispanic,1,Male,Low,2015-12-27
young,2014-07-27,African-American,1,Male,High,2014-10-17
young,2013-04-19,African-American,1,Male,Medium,2015-10-01
adult,2013-04-07,Caucasian,1,Female,Low,2014-04-12
young,2013-01-16,African-American,1,Male,High,2013-11-19
adult,,African-American,1,Male,Low,2015-05-07
adult,2014-08-05,African-American,1,Male,Low,2014-09-10
adult,,Caucasian,1,Male,Low,2014-03-28
young,2013-01-26,Caucasian,1,Male,Medium,2013-03-25
senior,2014-05-22,African-American,1,Male,Low,2016-01-16
adult,2014-03-12,Hispanic,1,Male,Low,2015-08-15
adult,2013-09-19,Hispanic,1,Female,Low,2015-10-03
adult,2014-10-27,African-American,1,Male,Low,2015-06-04
senior,2013-12-21,Caucasian,1,Male,Low,2014-07-14
adult,2013-03-03,Hispanic,1,Male,Low,2015-04-25
young,2014-05-17,African-American,1,Male,Medium,2015-07-23
young,2014-07-08,Other,1,Female,Low,2014-10-11
adult,,African-American,1,Male,Medium,2014-12-10
adult,2014-11-21,Caucasian,1,Male,Low,2015-10-14
adult,2013-04-11,Caucasian,1,Male,Low,2014-12-29
young,2013-12-11,African-American,1,Male,High,2014-07-30
young,2014-10-04,African-American,1,Female,Medium,2014-10-20
senior,2014-11-13,Caucasian,1,Male,Low,2015-02-12
young,2013-01-30,African-American,1,Female,Low,2015-07-28
young,2013-03-11,African-American,1,Male,Medium,2013-11-18
adult,2013-08-02,Caucasian,1,Female,Low,2014-12-08
adult,2013-09-07,African-American,1,Male,Low,2014-03-12
adult,,African-American,1,Male,Medium,2015-04-12
senior,2013-03-09,Caucasian,1,Male,Low,2015-04-01
adult,2013-09-23,Caucasian,1,Male,Low,2013-10-06
adult,2014-01-26,Caucasian,1,Male,Medium,2016-03-01
