age_cat,c_offense_date,ethnicity,is_recid,r_offense_date,score_text,sex
adult,2013-05-01,Caucasian,1,2013-05-16,Medium,Female
senior,2013-01-11,Caucasian,1,2013-03-05,Low,Male
adult,2013-09-16,African-American,1,2013-10-18,Low,Male
adult,2013-03-17,African-American,1,2014-07-13,Medium,Male
senior,2014-09-19,Caucasian,1,2015-07-27,Low,Male
adult,2014-08-05,African-American,1,2015-05-05,High,Male
young,2014-04-23,African-American,1,2014-11-10,Medium,Male
senior,2013-02-02,African-American,1,2013-02-12,High,Male
young,2014-01-05,African-American,1,2014-07-01,Low,Male
adult,2013-06-05,Caucasian,1,2013-12-12,Medium,Female
senior,2013-06-01,African-American,1,2016-01-10,Low,Male
senior,2014-02-17,Caucasian,1,2015-11-17,Low,Male
adult,2013-08-27,African-American,1,2014-06-13,High,Male
adult,2013-12-24,African-American,1,2014-04-07,High,Male
adult,2014-03-02,Caucasian,1,2015-03-26,Low,Male
adult,2014-11-13,African-American,1,2015-05-06,High,Male
young,2014-04-25,African-American,1,2015-03-12,Low,Male
adult,2014-01-30,African-American,1,2016-02-28,Low,Male
adult,2014-01-27,Other,1,2015-09-18,Low,Male
adult,2014-07-12,African-American,1,2015-05-27,High,Female
adult,2013-04-17,African-American,1,2014-05-02,High,Male
adult,2013-10-09,Caucasian,1,2014-05-14,High,Female
senior,2013-03-19,Caucasian,1,2013-11-20,Low,Male
senior,2014-01-12,Caucasian,1,2014-07-01,Low,Female
adult,2013-01-06,Other,1,2013-08-24,Low,Male
adult,2013-04-23,African-American,1,2014-07-01,High,Male
adult,2013-02-16,African-American,1,2015-07-07,Low,Male
adult,2014-04-29,Other,1,2015-03-10,Low,Male
adult,2013-02-19,Caucasian,1,2013-07-31,Low,Male
adult,2014-08-05,African-American,1,2014-12-03,High,Male
adult,2014-12-30,Caucasian,1,2016-02-05,High,Male
adult,2014-04-18,Caucasian,1,2014-12-27,Low,Male
adult,2013-04-10,Caucasian,1,2013-08-25,Medium,Male
young,2013-01-31,Caucasian,1,2014-07-16,High,Male
adult,2014-03-11,Caucasian,1,2014-08-08,Medium,Male
young,2013-08-22,African-American,1,2014-04-20,High,Male
young,2013-08-29,Caucasian,1,2014-10-29,Medium,Female
adult,2014-05-24,African-American,1,2015-07-10,Low,Male
young,2013-11-17,African-American,1,2014-03-02,High,Male
adult,2013-02-13,African-American,1,2013-04-10,Medium,Male
young,2014-08-01,African-American,1,2015-11-13,Low,Female
senior,2012-01-11,African-American,1,2015-02-17,Medium,Male
adult,2013-04-07,Caucasian,1,2013-11-14,Medium,Male
adult,2014-10-02,African-American,1,2015-04-17,Medium,Male
young,2013-01-10,African-American,1,2013-01-15,High,Male
senior,2013-12-09,African-American,1,2014-01-22,Medium,Male
adult,2014-03-12,African-American,1,2015-04-15,Low,Male
senior,2013-08-13,Caucasian,1,2015-08-19,Low,Male
young,2013-03-03,African-American,1,2013-12-07,High,Male
adult,2014-07-14,African-American,1,2015-09-03,High,Male
adult,2013-03-20,Hispanic,1,2013-07-03,Low,Male
young,2014-10-24,African-American,1,2016-03-27,Medium,Male
young,2014-02-26,Caucasian,1,2015-03-07,Medium,Male
adult,2013-01-30,African-American,1,2013-07-21,Low,Male
adult,2013-11-04,African-American,1,2013-12-23,Low,Male
adult,2014-03-29,Caucasian,1,2015-08-16,Low,Male
young,2013-07-04,African-American,1,2016-03-21,Medium,Male
young,2013-11-25,African-American,1,2014-08-09,High,Male
adult,2011-05-18,African-American,1,2014-02-18,High,Male
adult,2013-08-15,Other,1,2015-04-22,Low,Male
adult,2014-01-01,Caucasian,1,2015-07-26,Low,Male
adult,2013-02-17,Caucasian,1,2014-04-06,Low,Male
young,2013-03-15,Other,1,2013-06-04,High,Male
young,2014-08-18,African-American,1,2014-09-18,High,Male
young,2014-01-10,African-American,1,2014-09-26,High,Male
young,2013-03-25,African-American,1,2013-06-03,High,Male
senior,2014-12-04,Caucasian,1,2015-06-25,Medium,Male
adult,2013-10-03,Caucasian,1,2014-01-19,Low,Male
young,2013-07-11,Hispanic,1,2015-10-24,Medium,Male
adult,2013-01-09,Caucasian,1,2013-05-21,Low,Female
young,2013-04-03,Hispanic,1,2015-07-07,Low,Female
young,2013-04-24,African-American,1,2014-01-21,High,Female
adult,2013-07-08,Hispanic,1,2014-07-25,Low,Female
young,2014-09-12,African-American,1,2015-11-18,High,Male
adult,2013-10-07,African-American,1,2014-05-16,High,Male
young,2013-04-23,African-American,1,2014-05-13,Medium,Female
adult,2013-01-29,African-American,1,2015-03-27,Low,Male
young,2013-05-05,African-American,1,2013-12-27,High,Male
young,2013-06-15,African-American,1,2016-01-20,Low,Male
young,2013-09-08,Caucasian,1,2014-06-04,Medium,Male
young,2014-10-08,African-American,1,2016-01-14,Medium,Male
senior,2014-04-07,Caucasian,1,2014-07-02,Low,Female
adult,2014-02-24,African-American,1,2014-10-22,High,Male
adult,2013-04-22,African-American,1,2013-11-11,High,Male
young,2013-02-04,African-American,1,2015-01-20,High,Male
adult,2013-03-16,African-American,1,2013-04-09,High,Male
adult,2013-08-15,African-American,1,2016-01-28,Low,Male
senior,2013-02-08,Caucasian,1,2014-12-28,High,Male
adult,2013-04-15,African-American,1,2014-03-23,High,Male
senior,2013-06-30,Caucasian,1,2015-05-06,High,Male
adult,2013-01-31,African-American,1,2013-02-20,Medium,Male
young,2013-01-01,African-American,1,2015-01-04,High,Male
adult,2013-09-03,African-American,1,2014-11-30,High,Male
senior,2014-05-28,Caucasian,1,2015-01-17,Low,Male
adult,2013-07-20,African-American,1,2015-01-13,Low,Female
adult,2014-07-31,Caucasian,1,2014-12-30,Low,Male
adult,2014-01-25,African-American,1,2014-09-08,Low,Male
young,2013-06-25,Caucasian,1,2013-11-02,Medium,Male
adult,2013-01-09,African-American,1,2013-01-16,Medium,Male
young,2013-08-11,African-American,1,2013-10-05,Medium,Male
adult,2014-11-03,Caucasian,1,2015-11-29,Medium,Male
senior,2013-12-10,Hispanic,1,2014-04-24,Low,Male
senior,2014-11-20,African-American,1,2015-01-19,Medium,Male
young,2013-11-13,Caucasian,1,2014-09-20,High,Male
young,2014-01-18,African-American,1,2014-03-14,High,Female
young,2014-07-27,Caucasian,1,2015-01-27,High,Male
young,2013-09-23,African-American,1,2014-06-18,Low,Male
senior,2014-10-26,African-American,1,2015-03-17,High,Female
adult,2013-09-11,Caucasian,1,2014-02-01,Low,Male
young,2014-10-29,Other,1,2015-03-20,High,Male
adult,2013-04-16,African-American,1,2015-04-06,High,Male
adult,2013-10-15,African-American,1,2013-10-18,Medium,Male
adult,2014-10-30,African-American,1,2015-02-25,Medium,Male
senior,2013-10-24,Caucasian,1,2014-04-05,Medium,Male
adult,2014-02-15,Caucasian,1,2014-07-23,Low,Male
senior,2014-11-11,African-American,1,2014-11-19,Low,Male
adult,2013-03-04,African-American,1,2014-06-10,High,Male
young,2013-04-19,African-American,1,2015-08-22,Medium,Male
senior,2014-06-28,African-American,1,2014-08-23,High,Male
adult,2014-10-14,African-American,1,2014-10-29,Medium,Male
senior,2013-11-23,African-American,1,2014-01-12,Medium,Male
young,2014-12-14,Caucasian,1,2015-05-13,Medium,Male
young,2013-11-19,African-American,1,2014-02-16,High,Male
adult,2014-12-23,Caucasian,1,2015-02-04,Medium,Male
adult,2013-12-22,Hispanic,1,2014-06-05,Low,Male
senior,2013-02-22,Caucasian,1,2013-03-25,Low,Male
young,2014-04-15,Caucasian,1,2016-01-30,High,Female
young,2013-11-05,Caucasian,1,2013-12-13,High,Male
senior,2014-11-21,Asian,1,2015-01-30,Medium,Male
adult,2014-03-25,Caucasian,1,2014-05-31,Low,Male
adult,2013-11-12,African-American,1,2014-01-02,Low,Male
young,2013-06-03,Hispanic,1,2015-05-31,Medium,Female
adult,2013-02-20,Caucasian,1,2014-02-12,Low,Male
adult,2014-05-17,Hispanic,1,2014-10-09,Medium,Male
senior,2013-12-20,African-American,1,2015-01-08,Medium,Male
adult,2014-06-10,African-American,1,2014-07-02,Medium,Male
senior,2013-03-01,Caucasian,1,2013-12-26,Medium,Male
senior,2013-02-07,African-American,1,2013-04-10,High,Male
young,2014-10-17,African-American,1,2015-06-08,Low,Male
adult,2014-05-09,Caucasian,1,2014-11-04,Low,Male
adult,2013-10-18,Caucasian,1,2016-01-08,Low,Male
adult,2014-06-11,African-American,1,2015-01-23,Low,Male
young,2014-04-05,Caucasian,1,2015-01-27,Low,Male
adult,2014-02-08,African-American,1,2014-03-22,Medium,Male
young,2013-08-17,Caucasian,1,2013-10-16,High,Male
young,2013-11-06,Caucasian,1,2014-11-28,High,Male
young,2013-08-23,Hispanic,1,2013-12-18,Medium,Male
adult,2014-03-20,African-American,1,2015-07-18,High,Male
adult,2014-10-03,Hispanic,1,2014-10-16,Low,Male
senior,2013-11-16,Caucasian,1,2014-08-23,Medium,Male
adult,2013-01-24,African-American,1,2015-07-09,Medium,Male
adult,2013-10-29,African-American,1,2014-05-24,Low,Male
adult,2014-02-24,African-American,1,2015-05-07,High,Male
adult,2013-12-22,African-American,1,2014-10-28,Low,Male
adult,2014-01-23,African-American,1,2016-03-04,Medium,Male
senior,2014-01-21,Caucasian,1,2014-07-25,Low,Female
senior,2014-12-14,Caucasian,1,2014-12-21,Low,Male
senior,2013-08-14,Caucasian,1,2015-08-01,Low,Male
adult,2013-03-03,African-American,1,2013-08-23,Medium,Male
adult,2013-12-06,Other,1,2014-06-07,Medium,Male
adult,2013-03-16,African-American,1,2015-08-26,Low,Male
young,2014-05-23,Hispanic,1,2014-12-10,Low,Male
adult,2013-06-22,African-American,1,2015-04-16,High,Male
adult,2014-12-01,African-American,1,2015-06-06,Medium,Male
senior,2013-08-04,African-American,1,2014-03-16,Medium,Male
young,2014-12-09,African-American,1,2015-01-25,High,Male
adult,2014-09-01,Hispanic,1,2015-10-25,High,Male
adult,2014-08-25,African-American,1,2014-09-27,Medium,Male
young,2014-07-25,African-American,1,2015-03-05,High,Male
adult,2013-04-08,African-American,1,2013-06-11,Medium,Male
adult,2013-12-24,Hispanic,1,2014-07-15,Medium,Male
adult,2013-08-27,Caucasian,1,2014-08-31,Low,Male
young,2014-10-23,Caucasian,1,2014-11-20,High,Female
senior,2013-04-07,African-American,1,2013-06-11,Medium,Male
young,2013-04-17,African-American,1,2015-01-21,High,Male
adult,2013-03-21,Caucasian,1,2013-12-19,Medium,Male
young,2013-04-25,Caucasian,1,2013-08-19,Medium,Male
adult,2013-04-08,African-American,1,2014-01-23,High,Male
adult,2014-09-14,Caucasian,1,2015-02-09,Low,Female
senior,2014-08-27,African-American,1,2015-01-18,Low,Female
senior,2014-05-20,Caucasian,1,2015-01-11,Low,Female
young,2013-10-30,Caucasian,1,2014-02-18,Low,Male
adult,2014-06-05,Caucasian,1,2015-11-06,Low,Male
adult,2014-02-21,African-American,1,2015-03-11,High,Male
adult,2013-07-06,Caucasian,1,2014-03-13,Low,Male
adult,2013-11-22,African-American,1,2014-02-19,High,Male
young,2014-02-02,African-American,1,2015-03-28,Low,Male
adult,2014-03-06,African-American,1,2015-01-23,Low,Female
adult,2014-07-09,Caucasian,1,2015-04-08,Low,Male
adult,2014-11-05,African-American,1,2015-01-16,High,Male
adult,2011-07-03,African-American,1,2015-08-27,High,Male
young,2013-10-10,Hispanic,1,2014-08-07,Medium,Male
senior,2014-03-24,African-American,1,2015-09-04,Low,Male
adult,2013-04-14,Other,1,2013-05-10,High,Male
adult,2013-10-13,African-American,1,2014-06-03,Medium,Male
adult,2014-08-09,Caucasian,1,2015-05-11,High,Female
adult,2013-09-21,Hispanic,1,2014-03-11,High,Male
young,2013-01-14,African-American,1,2013-05-27,High,Male
young,2013-05-23,Asian,1,2014-11-15,Medium,Male
senior,2014-07-24,Caucasian,1,2014-12-08,Low,Male
adult,2013-04-02,African-American,1,2014-07-04,High,Male
adult,2013-10-08,African-American,1,2014-10-10,High,Male
adult,2013-03-17,African-American,1,2013-05-24,Low,Male
senior,2014-12-16,Caucasian,1,2015-05-14,Medium,Male
senior,2014-04-30,African-American,1,2014-10-14,Medium,Male
adult,2013-08-22,African-American,1,2013-08-29,High,Male
young,2013-02-04,African-American,1,2014-04-06,Medium,Male
adult,2013-06-11,African-American,1,2013-11-14,Low,Male
senior,2013-09-28,African-American,1,2014-06-11,High,Male
adult,2013-10-29,Caucasian,1,2014-02-13,Low,Male
adult,2014-12-12,Caucasian,1,2015-11-19,Low,Male
senior,2014-09-06,African-American,1,2014-12-18,Low,Male
adult,2013-01-04,African-American,1,2014-10-03,High,Female
young,2014-03-12,African-American,1,2014-04-03,High,Male
adult,2014-11-16,Caucasian,1,2015-01-08,Medium,Male
young,2013-02-13,African-American,1,2014-04-24,High,Male
young,2014-09-06,African-American,1,2015-07-26,Medium,Male
young,2014-12-11,African-American,1,2015-08-17,Medium,Male
adult,2013-04-24,African-American,1,2014-06-22,Medium,Male
senior,2013-10-08,African-American,1,2015-09-25,High,Female
young,2013-10-11,Other,1,2014-02-07,Low,Male
young,2013-12-31,Caucasian,1,2015-12-23,High,Female
young,2013-05-04,African-American,1,2016-02-21,Medium,Female
adult,2014-08-26,African-American,1,2015-10-16,Medium,Male
adult,2013-01-03,African-American,1,2015-11-02,Medium,Male
adult,2014-03-11,African-American,1,2014-10-13,High,Male
adult,2014-07-08,Other,1,2015-02-26,Low,Male
adult,2013-10-29,African-American,1,2015-08-31,Medium,Male
young,2013-08-12,Caucasian,1,2014-01-19,Low,Male
young,2014-10-14,Caucasian,1,2014-11-26,High,Male
young,2013-08-11,Caucasian,1,2015-05-23,Low,Male
young,2014-10-20,African-American,1,2015-05-29,High,Male
young,2014-01-25,African-American,1,2014-06-05,Medium,Male
adult,2013-04-06,Caucasian,1,2014-12-07,Medium,Male
young,2013-08-12,African-American,1,2014-04-24,Medium,Female
adult,2013-01-10,African-American,1,2014-01-22,Low,Male
young,2012-09-29,Caucasian,1,2013-05-26,Medium,Female
adult,2013-03-19,African-American,1,2014-01-09,Medium,Male
adult,2014-08-16,Caucasian,1,2015-05-13,Low,Female
adult,2013-01-26,African-American,1,2013-03-24,High,Male
adult,2014-05-24,Caucasian,1,2014-07-10,Low,Male
adult,2013-04-29,Other,1,2013-05-13,Low,Female
adult,2014-02-23,African-American,1,2014-12-31,Medium,Male
adult,2013-09-03,Caucasian,1,2015-09-29,Low,Male
adult,2013-09-08,African-American,1,2014-03-20,High,Male
young,2013-03-30,Other,1,2013-04-20,Low,Male
adult,2013-08-14,African-American,1,2014-08-19,High,Male
young,2012-12-31,African-American,1,2013-01-29,Medium,Male
senior,2013-04-07,African-American,1,2013-06-11,High,Male
adult,2014-09-08,Caucasian,1,2015-05-19,Low,Male
senior,2014-06-14,African-American,1,2014-07-31,Medium,Male
senior,2013-04-10,Caucasian,1,2015-07-18,Low,Male
adult,2013-03-29,African-American,1,2013-09-17,Low,Male
adult,2014-10-19,African-American,1,2015-01-23,Medium,Male
young,2014-05-31,African-American,1,2014-09-15,Medium,Male
adult,2014-01-29,Caucasian,1,2015-10-11,Medium,Male
adult,2014-11-23,Caucasian,1,2015-10-22,Low,Female
young,2013-04-22,African-American,1,2013-05-28,High,Male
young,2013-04-05,Caucasian,1,2013-05-22,Low,Male
adult,2013-04-05,African-American,1,2013-05-26,High,Male
young,2014-03-28,African-American,1,2015-12-22,Medium,Male
adult,2013-01-29,African-American,1,2013-05-05,Low,Male
adult,2013-02-08,African-American,1,2013-04-17,High,Male
adult,2013-05-05,African-American,1,2014-01-06,High,Male
adult,2013-09-24,African-American,1,2015-05-03,High,Male
senior,2012-12-24,African-American,1,2014-01-26,Low,Male
young,2013-08-27,Caucasian,1,2015-05-19,High,Male
young,2013-04-22,African-American,1,2016-01-19,High,Male
adult,2014-01-23,Other,1,2014-03-23,Low,Male
senior,2010-11-20,Caucasian,1,2015-04-01,Low,Male
adult,2013-05-06,Native American,1,2014-12-14,High,Male
young,2014-02-22,Hispanic,1,2015-06-21,Medium,Male
young,2014-07-31,Caucasian,1,2014-10-23,Low,Male
adult,2013-07-10,Caucasian,1,2013-10-13,Low,Female
adult,2013-01-29,African-American,1,2013-07-28,Medium,Male
adult,2013-02-04,Caucasian,1,2013-10-07,High,Male
senior,2014-12-01,Caucasian,1,2015-01-04,Low,Male
adult,2013-11-18,African-American,1,2014-06-10,Low,Male
adult,2013-05-04,African-American,1,2014-01-13,Low,Male
senior,2013-10-04,Hispanic,1,2014-01-21,Low,Male
adult,2014-03-01,African-American,1,2015-03-04,Low,Male
adult,2013-05-12,Caucasian,1,2015-08-23,Low,Male
adult,2013-02-02,African-American,1,2013-05-01,Medium,Male
young,2013-12-06,African-American,1,2013-12-27,Medium,Male
senior,2013-01-22,African-American,1,2013-04-23,Low,Male
adult,2013-11-19,African-American,1,2013-12-10,Low,Male
senior,2013-02-18,Caucasian,1,2014-05-02,Low,Female
young,2014-08-03,African-American,1,2014-09-22,High,Male
adult,2014-02-10,African-American,1,2014-07-01,High,Male
adult,2014-02-05,African-American,1,2014-04-15,Medium,Male
adult,2014-03-11,Hispanic,1,2015-02-18,Low,Female
senior,2013-05-04,Caucasian,1,2015-03-11,Medium,Male
adult,2013-05-09,African-American,1,2014-08-09,High,Male
adult,2014-10-30,African-American,1,2015-01-17,High,Male
adult,2014-03-11,African-American,1,2014-11-20,Low,Male
adult,2014-11-27,African-American,1,2015-10-11,Medium,Male
senior,2013-09-06,African-American,1,2014-02-01,Medium,Male
adult,2013-01-02,African-American,1,2013-07-16,Medium,Male
young,2014-03-09,Caucasian,1,2014-04-03,Medium,Female
young,2014-06-09,Hispanic,1,2015-08-12,Medium,Female
young,2013-08-24,African-American,1,2013-09-07,Medium,Male
adult,2013-10-31,African-American,1,2014-12-27,High,Male
young,2013-06-24,Hispanic,1,2014-02-06,Medium,Female
adult,2013-08-06,African-American,1,2014-08-19,Medium,Male
senior,2013-03-16,African-American,1,2013-06-04,Medium,Male
young,2013-08-28,Caucasian,1,2014-02-24,Medium,Male
adult,2013-02-01,African-American,1,2013-02-06,Low,Male
senior,2013-09-30,African-American,1,2015-08-13,Low,Male
adult,2013-11-08,Caucasian,1,2014-06-20,High,Male
young,2013-11-02,African-American,1,2013-12-20,Medium,Male
adult,2013-12-23,African-American,1,2015-10-28,Low,Male
adult,2014-10-13,African-American,1,2015-05-21,Low,Male
adult,2013-07-27,Caucasian,1,2015-12-23,Low,Male
young,2013-02-23,African-American,1,2013-08-13,High,Male
senior,2013-04-27,Hispanic,1,2015-03-31,Low,Male
adult,2014-05-16,African-American,1,2014-11-07,Low,Male
adult,2014-07-27,African-American,1,2015-08-18,Medium,Female
young,2013-03-01,Hispanic,1,2013-07-21,Medium,Male
adult,2013-02-02,African-American,1,2013-06-08,Medium,Male
adult,2013-09-07,African-American,1,2013-12-12,High,Male
senior,2013-05-21,Hispanic,1,2013-07-04,Low,Male
adult,2013-06-28,African-American,1,2014-02-26,Medium,Male
adult,2013-10-29,African-American,1,2014-05-06,Medium,Male
adult,2014-02-23,Other,1,2015-04-16,Low,Male
adult,2013-02-15,African-American,1,2013-05-14,Medium,Female
adult,2014-01-12,African-American,1,2014-10-09,Low,Male
adult,2013-05-19,African-American,1,2013-11-22,High,Male
adult,2014-01-31,African-American,1,2014-04-03,High,Male
adult,2014-03-26,African-American,1,2014-12-08,Low,Male
senior,2013-04-26,African-American,1,2014-06-20,High,Male
adult,2013-03-14,African-American,1,2013-05-10,Low,Male
adult,2013-05-07,Caucasian,1,2013-08-02,Low,Male
adult,2013-12-14,African-American,1,2014-03-04,Medium,Male
adult,2013-09-13,African-American,1,2014-02-18,Medium,Female
adult,2013-03-02,African-American,1,2016-01-20,Low,Male
young,2013-02-14,African-American,1,2013-04-11,High,Male
adult,2013-04-26,African-American,1,2014-01-08,Low,Male
young,2012-12-26,African-American,1,2015-10-15,Low,Female
senior,2013-10-07,Caucasian,1,2015-03-20,Low,Male
adult,2014-05-29,African-American,1,2014-06-09,High,Male
senior,2013-10-03,African-American,1,2015-09-10,Low,Male
young,2014-04-02,African-American,1,2015-07-24,Medium,Female
senior,2013-03-13,African-American,1,2013-05-28,Low,Male
young,2013-01-21,African-American,1,2014-02-13,Low,Male
senior,2013-10-24,Caucasian,1,2014-04-23,Low,Female
young,2014-10-19,Caucasian,1,2014-11-18,Medium,Male
adult,2013-01-29,Caucasian,1,2013-09-21,High,Female
young,2013-04-05,African-American,1,2014-01-30,Medium,Male
adult,2013-09-15,Caucasian,1,2014-02-28,Medium,Male
adult,2011-07-24,African-American,1,2013-08-18,Medium,Female
young,2013-03-25,Hispanic,1,2013-08-05,Medium,Male
young,2013-01-25,African-American,1,2013-04-13,High,Male
senior,2013-05-04,Caucasian,1,2014-02-10,Low,Male
adult,2013-04-26,African-American,1,2014-01-09,Low,Male
adult,2013-06-01,African-American,1,2014-03-24,High,Male
senior,2012-12-31,Caucasian,1,2013-05-08,Low,Female
adult,2014-06-01,African-American,1,2014-08-06,Medium,Male
adult,2014-02-10,African-American,1,2014-06-26,High,Male
adult,2013-03-30,Caucasian,1,2015-04-10,Low,Male
adult,2013-03-24,African-American,1,2013-03-27,Medium,Male
adult,2013-09-05,African-American,1,2014-01-25,Medium,Male
adult,2013-05-20,African-American,1,2013-10-10,High,Male
senior,2014-02-17,African-American,1,2015-04-15,Low,Male
adult,2013-01-23,Hispanic,1,2015-03-12,Low,Female
adult,2012-10-31,Caucasian,1,2013-04-01,High,Male
adult,2013-04-07,African-American,1,2013-08-20,Low,Male
young,2013-02-08,African-American,1,2013-05-06,Medium,Male
young,2013-08-15,Other,1,2015-07-22,Low,Male
adult,2013-05-16,Caucasian,1,2013-06-08,Low,Male
adult,2012-07-13,Caucasian,1,2014-03-20,High,Male
adult,2014-07-04,Caucasian,1,2015-08-06,Medium,Male
young,2014-02-19,African-American,1,2014-11-28,Low,Male
young,2014-04-06,Hispanic,1,2014-07-26,Low,Male
young,2013-03-21,African-American,1,2013-11-25,High,Male
young,2012-04-13,African-American,1,2015-09-18,Medium,Female
adult,2013-02-17,African-American,1,2015-08-01,High,Male
young,2014-08-29,Hispanic,1,2014-10-09,High,Male
adult,2013-12-20,African-American,1,2014-01-10,High,Male
adult,2013-01-19,Native American,1,2015-03-11,High,Male
young,2013-11-15,African-American,1,2015-09-28,Low,Male
adult,2014-04-01,African-American,1,2015-06-28,High,Female
adult,2013-01-13,African-American,1,2013-11-14,Medium,Male
adult,2013-03-03,Caucasian,1,2013-04-17,Medium,Female
adult,2013-08-12,Other,1,2014-01-12,Low,Male
adult,2014-12-18,Caucasian,1,2015-02-17,High,Female
adult,2014-10-17,Caucasian,1,2015-12-21,Low,Male
young,2014-09-28,African-American,1,2014-10-19,High,Male
adult,2014-05-29,Hispanic,1,2015-08-10,Low,Male
senior,2013-08-26,Caucasian,1,2014-07-06,Medium,Male
adult,2014-05-05,Caucasian,1,2015-05-20,Low,Male
adult,2014-08-16,African-American,1,2014-09-04,Medium,Male
adult,2013-02-23,African-American,1,2015-05-08,Low,Female
young,2013-04-11,Caucasian,1,2014-02-12,Medium,Male
adult,2013-09-03,African-American,1,2013-10-13,High,Male
adult,2013-08-05,African-American,1,2013-09-29,Low,Male
adult,2014-06-12,African-American,1,2014-10-09,Medium,Male
adult,2013-04-20,African-American,1,2014-06-18,High,Female
