age_cat,dates_diff_in_days,ethnicity,score_text,sex
young,257,African-American,High,Male
adult,1007,African-American,High,Male
adult,615,Other,Low,Male
adult,571,Caucasian,Low,Male
adult,413,Caucasian,Low,Male
young,81,Other,High,Male
young,31,African-American,High,Male
young,259,African-American,High,Male
young,70,African-American,High,Male
senior,203,Caucasian,Medium,Male
adult,108,Caucasian,Low,Male
young,835,Hispanic,Medium,Male
adult,132,Caucasian,Low,Female
young,825,Hispanic,Low,Female
young,272,African-American,High,Female
adult,382,Hispanic,Low,Female
young,432,African-American,High,Male
adult,221,African-American,High,Male
young,385,African-American,Medium,Female
adult,787,African-American,Low,Male
young,236,African-American,High,Male
young,949,African-American,Low,Male
young,269,Caucasian,Medium,Male
young,463,African-American,Medium,Male
senior,86,Caucasian,Low,Female
adult,240,African-American,High,Male
adult,203,African-American,High,Male
young,715,African-American,High,Male
adult,24,African-American,High,Male
adult,896,African-American,Low,Male
senior,688,Caucasian,High,Male
adult,342,African-American,High,Male
senior,675,Caucasian,High,Male
adult,20,African-American,Medium,Male
young,733,African-American,High,Male
adult,453,African-American,High,Male
senior,234,Caucasian,Low,Male
adult,542,African-American,Low,Female
adult,152,Caucasian,Low,Male
adult,226,African-American,Low,Male
young,130,Caucasian,Medium,Male
adult,7,African-American,Medium,Male
young,55,African-American,Medium,Male
adult,391,Caucasian,Medium,Male
senior,135,Hispanic,Low,Male
senior,60,African-American,Medium,Male
young,311,Caucasian,High,Male
young,55,African-American,High,Female
young,184,Caucasian,High,Male
young,268,African-American,Low,Male
senior,142,African-American,High,Female
adult,143,Caucasian,Low,Male
young,142,Other,High,Male
adult,720,African-American,High,Male
adult,3,African-American,Medium,Male
adult,118,African-American,Medium,Male
senior,163,Caucasian,Medium,Male
adult,158,Caucasian,Low,Male
senior,8,African-American,Low,Male
adult,463,African-American,High,Male
young,855,African-American,Medium,Male
senior,56,African-American,High,Male
adult,15,African-American,Medium,Male
senior,50,African-American,Medium,Male
young,150,Caucasian,Medium,Male
young,89,African-American,High,Male
adult,43,Caucasian,Medium,Male
adult,165,Hispanic,Low,Male
senior,31,Caucasian,Low,Male
young,655,Caucasian,High,Female
young,38,Caucasian,High,Male
senior,70,Asian,Medium,Male
adult,67,Caucasian,Low,Male
adult,51,African-American,Low,Male
young,727,Hispanic,Medium,Female
adult,357,Caucasian,Low,Male
adult,145,Hispanic,Medium,Male
senior,384,African-American,Medium,Male
adult,22,African-American,Medium,Male
senior,300,Caucasian,Medium,Male
senior,62,African-American,High,Male
young,234,African-American,Low,Male
adult,179,Caucasian,Low,Male
adult,812,Caucasian,Low,Male
adult,226,African-American,Low,Male
young,297,Caucasian,Low,Male
adult,42,African-American,Medium,Male
young,60,Caucasian,High,Male
young,387,Caucasian,High,Male
young,117,Hispanic,Medium,Male
adult,485,African-American,High,Male
adult,13,Hispanic,Low,Male
senior,280,Caucasian,Medium,Male
adult,896,African-American,Medium,Male
adult,207,African-American,Low,Male
adult,437,African-American,High,Male
adult,310,African-American,Low,Male
adult,771,African-American,Medium,Male
senior,185,Caucasian,Low,Female
senior,7,Caucasian,Low,Male
senior,717,Caucasian,Low,Male
adult,173,African-American,Medium,Male
adult,183,Other,Medium,Male
adult,893,African-American,Low,Male
young,201,Hispanic,Low,Male
adult,663,African-American,High,Male
adult,187,African-American,Medium,Male
senior,224,African-American,Medium,Male
young,47,African-American,High,Male
adult,419,Hispanic,High,Male
adult,33,African-American,Medium,Male
young,223,African-American,High,Male
adult,64,African-American,Medium,Male
adult,203,Hispanic,Medium,Male
adult,369,Caucasian,Low,Male
young,28,Caucasian,High,Female
senior,65,African-American,Medium,Male
young,644,African-American,High,Male
adult,273,Caucasian,Medium,Male
young,116,Caucasian,Medium,Male
adult,290,African-American,High,Male
adult,148,Caucasian,Low,Female
senior,144,African-American,Low,Female
senior,236,Caucasian,Low,Female
young,111,Caucasian,Low,Male
adult,519,Caucasian,Low,Male
adult,383,African-American,High,Male
adult,250,Caucasian,Low,Male
adult,89,African-American,High,Male
young,419,African-American,Low,Male
adult,323,African-American,Low,Female
adult,273,Caucasian,Low,Male
adult,72,African-American,High,Male
adult,1516,African-American,High,Male
young,301,Hispanic,Medium,Male
senior,529,African-American,Low,Male
adult,26,Other,High,Male
adult,233,African-American,Medium,Male
adult,275,Caucasian,High,Female
adult,171,Hispanic,High,Male
young,133,African-American,High,Male
young,541,Asian,Medium,Male
senior,137,Caucasian,Low,Male
adult,458,African-American,High,Male
adult,367,African-American,High,Male
adult,68,African-American,Low,Male
senior,149,Caucasian,Medium,Male
senior,167,African-American,Medium,Male
adult,7,African-American,High,Male
young,426,African-American,Medium,Male
adult,156,African-American,Low,Male
senior,256,African-American,High,Male
adult,107,Caucasian,Low,Male
adult,342,Caucasian,Low,Male
senior,103,African-American,Low,Male
adult,637,African-American,High,Female
young,22,African-American,High,Male
adult,53,Caucasian,Medium,Male
young,435,African-American,High,Male
young,323,African-American,Medium,Male
young,249,African-American,Medium,Male
adult,424,African-American,Medium,Male
senior,717,African-American,High,Female
young,119,Other,Low,Male
young,722,Caucasian,High,Female
young,1023,African-American,Medium,Female
adult,416,African-American,Medium,Male
adult,1033,African-American,Medium,Male
adult,216,African-American,High,Male
adult,233,Other,Low,Male
adult,671,African-American,Medium,Male
young,160,Caucasian,Low,Male
young,43,Caucasian,High,Male
young,650,Caucasian,Low,Male
young,221,African-American,High,Male
young,131,African-American,Medium,Male
adult,610,Caucasian,Medium,Male
young,255,African-American,Medium,Female
adult,377,African-American,Low,Male
young,239,Caucasian,Medium,Female
adult,296,African-American,Medium,Male
adult,270,Caucasian,Low,Female
adult,57,African-American,High,Male
adult,47,Caucasian,Low,Male
adult,14,Other,Low,Female
adult,311,African-American,Medium,Male
adult,756,Caucasian,Low,Male
adult,193,African-American,High,Male
young,21,Other,Low,Male
adult,370,African-American,High,Male
young,29,African-American,Medium,Male
senior,65,African-American,High,Male
adult,253,Caucasian,Low,Male
senior,47,African-American,Medium,Male
senior,829,Caucasian,Low,Male
adult,172,African-American,Low,Male
adult,96,African-American,Medium,Male
young,107,African-American,Medium,Male
adult,620,Caucasian,Medium,Male
adult,333,Caucasian,Low,Female
young,36,African-American,High,Male
young,47,Caucasian,Low,Male
adult,51,African-American,High,Male
young,634,African-American,Medium,Male
adult,96,African-American,Low,Male
adult,68,African-American,High,Male
adult,246,African-American,High,Male
adult,586,African-American,High,Male
senior,398,African-American,Low,Male
young,630,Caucasian,High,Male
young,1002,African-American,High,Male
adult,59,Other,Low,Male
senior,1593,Caucasian,Low,Male
adult,587,Native American,High,Male
young,484,Hispanic,Medium,Male
young,84,Caucasian,Low,Male
adult,95,Caucasian,Low,Female
adult,180,African-American,Medium,Male
adult,245,Caucasian,High,Male
senior,34,Caucasian,Low,Male
adult,204,African-American,Low,Male
adult,254,African-American,Low,Male
senior,109,Hispanic,Low,Male
adult,368,African-American,Low,Male
adult,833,Caucasian,Low,Male
adult,88,African-American,Medium,Male
young,21,African-American,Medium,Male
senior,91,African-American,Low,Male
adult,21,African-American,Low,Male
senior,438,Caucasian,Low,Female
young,50,African-American,High,Male
adult,141,African-American,High,Male
adult,69,African-American,Medium,Male
adult,344,Hispanic,Low,Female
senior,676,Caucasian,Medium,Male
adult,457,African-American,High,Male
adult,79,African-American,High,Male
adult,254,African-American,Low,Male
adult,318,African-American,Medium,Male
senior,148,African-American,Medium,Male
adult,195,African-American,Medium,Male
young,25,Caucasian,Medium,Female
young,429,Hispanic,Medium,Female
young,14,African-American,Medium,Male
adult,422,African-American,High,Male
young,227,Hispanic,Medium,Female
adult,378,African-American,Medium,Male
senior,80,African-American,Medium,Male
young,180,Caucasian,Medium,Male
adult,5,African-American,Low,Male
senior,682,African-American,Low,Male
adult,224,Caucasian,High,Male
young,48,African-American,Medium,Male
adult,674,African-American,Low,Male
adult,220,African-American,Low,Male
adult,879,Caucasian,Low,Male
young,171,African-American,High,Male
senior,703,Hispanic,Low,Male
adult,175,African-American,Low,Male
adult,387,African-American,Medium,Female
young,142,Hispanic,Medium,Male
adult,126,African-American,Medium,Male
adult,96,African-American,High,Male
senior,44,Hispanic,Low,Male
adult,243,African-American,Medium,Male
adult,189,African-American,Medium,Male
adult,417,Other,Low,Male
adult,88,African-American,Medium,Female
adult,270,African-American,Low,Male
adult,187,African-American,High,Male
adult,62,African-American,High,Male
adult,257,African-American,Low,Male
senior,420,African-American,High,Male
adult,57,African-American,Low,Male
adult,87,Caucasian,Low,Male
adult,80,African-American,Medium,Male
adult,158,African-American,Medium,Female
adult,1054,African-American,Low,Male
young,56,African-American,High,Male
adult,257,African-American,Low,Male
young,1023,African-American,Low,Female
senior,529,Caucasian,Low,Male
adult,11,African-American,High,Male
senior,707,African-American,Low,Male
young,478,African-American,Medium,Female
senior,76,African-American,Low,Male
young,388,African-American,Low,Male
senior,181,Caucasian,Low,Female
young,30,Caucasian,Medium,Male
adult,235,Caucasian,High,Female
young,300,African-American,Medium,Male
adult,166,Caucasian,Medium,Male
adult,756,African-American,Medium,Female
young,133,Hispanic,Medium,Male
young,78,African-American,High,Male
senior,282,Caucasian,Low,Male
adult,258,African-American,Low,Male
adult,296,African-American,High,Male
senior,128,Caucasian,Low,Female
adult,66,African-American,Medium,Male
adult,136,African-American,High,Male
adult,741,Caucasian,Low,Male
adult,3,African-American,Medium,Male
adult,142,African-American,Medium,Male
adult,143,African-American,High,Male
senior,422,African-American,Low,Male
adult,778,Hispanic,Low,Female
adult,152,Caucasian,High,Male
adult,135,African-American,Low,Male
young,87,African-American,Medium,Male
young,706,Other,Low,Male
adult,23,Caucasian,Low,Male
adult,615,Caucasian,High,Male
adult,398,Caucasian,Medium,Male
young,282,African-American,Low,Male
young,111,Hispanic,Low,Male
young,249,African-American,High,Male
young,1253,African-American,Medium,Female
adult,895,African-American,High,Male
young,41,Hispanic,High,Male
adult,21,African-American,High,Male
adult,781,Native American,High,Male
young,682,African-American,Low,Male
adult,453,African-American,High,Female
adult,305,African-American,Medium,Male
adult,45,Caucasian,Medium,Female
adult,153,Other,Low,Male
adult,61,Caucasian,High,Female
adult,430,Caucasian,Low,Male
young,21,African-American,High,Male
adult,438,Hispanic,Low,Male
senior,314,Caucasian,Medium,Male
adult,380,Caucasian,Low,Male
adult,19,African-American,Medium,Male
adult,804,African-American,Low,Female
young,307,Caucasian,Medium,Male
adult,40,African-American,High,Male
adult,55,African-American,Low,Male
adult,119,African-American,Medium,Male
adult,424,African-American,High,Female
adult,216,Caucasian,High,Male
young,10,Other,High,Male
adult,31,African-American,Low,Female
adult,138,African-American,Low,Male
adult,48,African-American,Low,Male
adult,19,African-American,High,Male
young,589,Caucasian,Medium,Male
adult,107,Caucasian,Low,Female
young,16,Caucasian,High,Male
senior,468,Caucasian,Low,Male
adult,14,African-American,High,Male
adult,30,Caucasian,Low,Female
adult,504,African-American,Medium,Female
adult,36,Caucasian,Medium,Male
young,353,African-American,High,Male
adult,112,Hispanic,Medium,Male
young,212,Caucasian,Low,Male
young,6,African-American,Low,Male
adult,132,Other,Low,Male
adult,480,Caucasian,Low,Male
adult,107,Hispanic,Low,Male
adult,101,African-American,High,Female
young,412,Caucasian,Medium,Male
young,33,African-American,High,Female
senior,350,African-American,Low,Male
adult,141,African-American,High,Male
adult,59,Caucasian,Medium,Male
adult,52,Caucasian,High,Male
senior,33,Caucasian,Low,Male
young,233,African-American,High,Male
adult,232,African-American,Low,Male
adult,228,African-American,Low,Male
adult,29,African-American,Medium,Male
adult,95,African-American,Low,Male
adult,84,African-American,High,Male
adult,250,African-American,Medium,Male
young,159,African-American,High,Male
adult,483,African-American,Low,Female
adult,279,Caucasian,Medium,Male
adult,148,African-American,High,Male
young,4,African-American,Medium,Male
adult,122,African-American,Low,Male
senior,408,African-American,Medium,Male
adult,904,African-American,High,Male
adult,549,Caucasian,Medium,Male
adult,70,Caucasian,Low,Male
young,71,African-American,Medium,Male
senior,843,Caucasian,Low,Male
adult,82,Caucasian,Low,Male
adult,288,African-American,Low,Male
young,6,African-American,Medium,Male
young,168,African-American,High,Male
adult,928,Caucasian,Medium,Male
adult,575,African-American,Low,Male
young,765,African-American,Low,Male
senior,38,Caucasian,Low,Male
senior,126,Other,Low,Male
adult,277,African-American,High,Male
adult,90,Caucasian,Low,Male
adult,628,Caucasian,Low,Female
adult,208,African-American,High,Female
adult,159,African-American,Low,Male
adult,51,African-American,High,Male
adult,119,Caucasian,Low,Male
young,67,African-American,High,Male
senior,483,Caucasian,Medium,Male
young,271,African-American,Low,Female
senior,152,African-American,Low,Male
adult,591,African-American,High,Female
adult,143,Caucasian,Low,Male
adult,21,African-American,Low,Male
adult,185,Other,Low,Male
adult,717,African-American,High,Male
adult,185,African-American,Medium,Female
young,165,Caucasian,Medium,Male
adult,595,Caucasian,Low,Male
young,17,African-American,Low,Male
adult,170,Caucasian,Low,Female
adult,91,African-American,Medium,Male
adult,304,African-American,Medium,Male
adult,517,Hispanic,Low,Male
young,260,African-American,Medium,Male
adult,413,African-American,Medium,Female
senior,334,African-American,Low,Male
senior,28,Caucasian,Low,Male
adult,392,Caucasian,Medium,Male
young,193,African-American,Low,Male
young,205,Caucasian,High,Male
adult,83,African-American,Low,Male
adult,61,African-American,High,Male
adult,176,African-American,High,Male
adult,20,African-American,High,Male
young,111,Caucasian,Medium,Female
young,13,African-American,Low,Male
senior,29,Caucasian,Low,Male
senior,151,Caucasian,Low,Male
adult,34,Hispanic,Low,Male
adult,124,African-American,High,Male
adult,153,African-American,High,Male
young,510,Caucasian,High,Female
adult,72,African-American,Low,Male
young,173,Caucasian,High,Male
adult,266,Caucasian,Medium,Male
senior,14,Caucasian,Medium,Male
young,76,African-American,High,Male
young,48,Hispanic,Medium,Female
adult,306,African-American,Medium,Male
young,57,Caucasian,Medium,Male
young,355,African-American,Low,Female
adult,455,African-American,Medium,Male
young,265,Hispanic,Low,Male
adult,1093,African-American,High,Male
senior,307,African-American,High,Male
adult,384,African-American,High,Male
adult,52,Hispanic,Low,Male
adult,84,African-American,Medium,Male
young,176,African-American,High,Male
young,263,African-American,Medium,Female
adult,129,African-American,High,Male
young,29,African-American,Low,Male
young,422,African-American,Low,Male
senior,246,Caucasian,Low,Female
adult,102,Caucasian,Low,Female
young,1030,African-American,Low,Male
adult,10,African-American,High,Male
senior,40,African-American,Medium,Male
adult,2,African-American,Low,Male
young,142,Caucasian,High,Male
adult,109,African-American,High,Male
adult,419,African-American,Low,Male
adult,138,Caucasian,Medium,Male
adult,219,Hispanic,Medium,Male
senior,268,African-American,Medium,Male
young,387,Hispanic,Medium,Male
adult,738,Caucasian,Low,Female
adult,152,Caucasian,Low,Male
adult,686,Caucasian,Medium,Male
adult,531,African-American,High,Male
senior,110,African-American,Low,Male
young,176,Caucasian,Low,Male
young,55,African-American,High,Male
senior,614,Caucasian,Medium,Female
senior,180,Caucasian,Low,Male
adult,186,African-American,High,Male
adult,499,Caucasian,Medium,Male
adult,159,African-American,Medium,Male
adult,416,African-American,Medium,Male
senior,204,Caucasian,Low,Female
adult,119,African-American,Medium,Male
young,54,African-American,Medium,Female
senior,53,Caucasian,Medium,Male
adult,222,African-American,Medium,Female
young,43,Caucasian,Low,Male
young,5,African-American,Medium,Male
young,5,African-American,High,Male
adult,245,African-American,High,Male
adult,233,African-American,Medium,Male
adult,148,African-American,Low,Male
adult,3442,African-American,High,Male
adult,663,African-American,Low,Male
young,660,African-American,Medium,Male
young,328,Caucasian,Medium,Male
adult,638,African-American,Medium,Male
adult,39,Caucasian,High,Male
adult,53,African-American,Medium,Male
young,49,Caucasian,High,Male
adult,53,Caucasian,High,Female
adult,13,Other,Low,Male
adult,785,African-American,High,Male
young,70,African-American,High,Male
adult,224,African-American,Medium,Female
adult,140,Caucasian,Medium,Female
young,860,Caucasian,Medium,Male
young,207,Caucasian,Medium,Male
senior,324,Other,Low,Male
young,80,African-American,Medium,Male
adult,473,Caucasian,Low,Male
adult,237,African-American,Medium,Male
adult,120,African-American,Low,Male
adult,907,African-American,Low,Female
adult,164,African-American,High,Male
adult,56,African-American,High,Male
adult,417,Caucasian,Medium,Male
senior,191,African-American,Low,Male
adult,916,African-American,Medium,Male
senior,512,African-American,High,Male
adult,188,Caucasian,Medium,Male
adult,470,Caucasian,High,Male
adult,123,Caucasian,Low,Male
adult,86,Caucasian,Medium,Female
adult,600,African-American,High,Male
adult,292,African-American,Medium,Female
adult,5,African-American,High,Male
adult,438,African-American,High,Male
young,963,African-American,Low,Male
adult,245,Caucasian,Low,Male
adult,9,African-American,Low,Male
senior,425,Caucasian,Low,Female
senior,583,Caucasian,Low,Female
adult,246,African-American,Low,Male
adult,32,Caucasian,Low,Male
adult,128,Caucasian,Medium,Male
adult,10,African-American,Low,Female
young,128,African-American,Low,Male
adult,139,African-American,Medium,Male
senior,223,Caucasian,Low,Male
young,72,African-American,Medium,Male
senior,685,African-American,Medium,Male
adult,6,African-American,High,Male
adult,432,Caucasian,Low,Male
adult,22,African-American,High,Male
adult,157,African-American,Low,Male
senior,30,Caucasian,Low,Male
adult,146,African-American,High,Male
adult,114,African-American,High,Male
senior,14,Caucasian,Low,Male
young,155,African-American,High,Male
senior,175,African-American,Medium,Female
adult,15,Caucasian,Medium,Male
adult,157,African-American,High,Male
adult,773,African-American,Low,Male
adult,91,African-American,Medium,Female
young,658,Hispanic,Low,Male
adult,388,Caucasian,Low,Male
adult,376,African-American,Low,Male
adult,442,African-American,Low,Male
young,171,Hispanic,High,Male
adult,1170,African-American,Low,Male
adult,326,African-American,High,Male
adult,11,Caucasian,Low,Male
young,327,African-American,High,Male
senior,136,Hispanic,High,Male
young,7,Caucasian,Low,Male
young,14,African-American,Medium,Female
young,547,African-American,Low,Male
young,361,Hispanic,High,Male
adult,364,Caucasian,Low,Male
young,65,Caucasian,High,Male
adult,31,African-American,High,Male
adult,431,African-American,Low,Female
adult,161,Caucasian,High,Male
adult,138,African-American,Medium,Male
young,10,Other,Low,Male
adult,431,African-American,Low,Male
young,289,African-American,Low,Male
young,315,African-American,Medium,Male
young,580,African-American,High,Male
adult,789,Caucasian,High,Male
adult,348,African-American,Low,Male
adult,160,African-American,High,Male
adult,176,African-American,High,Male
adult,133,African-American,High,Male
adult,345,African-American,Medium,Male
senior,371,African-American,Medium,Female
young,610,Hispanic,Medium,Male
adult,147,African-American,Low,Male
adult,71,Caucasian,Medium,Male
adult,30,African-American,High,Male
adult,647,African-American,Low,Male
young,408,African-American,Medium,Male
adult,1028,Caucasian,Low,Male
young,147,African-American,Low,Male
adult,376,African-American,High,Male
adult,75,African-American,Low,Male
young,78,Caucasian,Medium,Male
young,3,Caucasian,Low,Male
adult,128,African-American,Low,Male
senior,232,Caucasian,Low,Male
young,545,Other,Low,Female
senior,102,African-American,Medium,Male
adult,816,African-American,Medium,Male
senior,977,African-American,High,Male
senior,196,African-American,Low,Male
senior,1021,African-American,High,Male
adult,167,African-American,High,Male
adult,658,Caucasian,Low,Male
young,603,African-American,Medium,Male
senior,474,Caucasian,Low,Male
senior,418,Caucasian,Low,Male
adult,84,African-American,High,Female
adult,135,African-American,High,Male
senior,468,African-American,Low,Male
adult,91,African-American,High,Male
adult,20,Caucasian,High,Male
adult,878,Other,Medium,Male
adult,616,Caucasian,Low,Male
adult,581,Caucasian,Low,Male
adult,146,African-American,Medium,Male
adult,1134,African-American,Medium,Male
adult,218,African-American,High,Male
adult,743,African-American,Low,Male
adult,502,Hispanic,High,Male
adult,42,African-American,Medium,Male
adult,107,African-American,High,Male
senior,813,African-American,Low,Male
young,381,Caucasian,Low,Male
adult,956,African-American,High,Male
adult,326,Hispanic,Low,Male
adult,283,Asian,High,Male
young,78,African-American,High,Male
young,214,African-American,Medium,Male
adult,774,African-American,Low,Male
young,16,Hispanic,Low,Male
senior,754,Caucasian,Low,Male
adult,935,African-American,Medium,Male
adult,599,Hispanic,Medium,Male
young,213,African-American,Low,Male
adult,445,African-American,Medium,Male
adult,400,Caucasian,High,Male
senior,329,African-American,Medium,Male
adult,325,African-American,Medium,Male
adult,482,Hispanic,Low,Male
adult,143,Other,Low,Male
young,7,African-American,Medium,Male
adult,143,Caucasian,Medium,Male
adult,552,Caucasian,Medium,Male
young,1,Caucasian,Low,Male
adult,86,African-American,High,Female
young,97,Other,Medium,Male
senior,224,Caucasian,Low,Male
adult,512,African-American,Low,Male
young,8,Caucasian,High,Male
young,192,Caucasian,Medium,Male
adult,256,African-American,Low,Male
adult,67,African-American,Low,Male
young,882,African-American,Medium,Male
adult,159,African-American,Medium,Male
adult,245,Hispanic,Low,Female
senior,405,Caucasian,High,Male
adult,146,African-American,High,Male
senior,658,Caucasian,Low,Male
senior,805,African-American,Low,Male
senior,794,Native American,High,Female
senior,102,African-American,Medium,Male
adult,417,African-American,Medium,Female
adult,637,Caucasian,Medium,Male
adult,105,African-American,High,Male
young,196,African-American,High,Male
adult,594,African-American,High,Male
adult,34,African-American,Medium,Female
adult,149,Caucasian,Low,Male
adult,62,Caucasian,High,Male
senior,348,African-American,Medium,Male
adult,329,Other,Low,Male
young,531,African-American,High,Male
adult,77,African-American,Low,Male
young,190,Other,Medium,Female
senior,176,Caucasian,Medium,Male
senior,1251,Caucasian,Low,Female
adult,590,Caucasian,Medium,Male
adult,20,Caucasian,High,Female
young,214,African-American,Low,Male
adult,153,African-American,High,Male
young,160,African-American,Medium,Female
adult,36,Caucasian,Low,Male
adult,685,African-American,High,Male
adult,372,Hispanic,Low,Female
adult,23,African-American,High,Male
adult,645,African-American,Low,Male
adult,292,African-American,Medium,Male
adult,215,African-American,Low,Female
adult,348,Caucasian,Low,Male
adult,443,African-American,Low,Male
adult,550,African-American,Low,Male
adult,53,African-American,High,Male
senior,36,African-American,Medium,Male
adult,92,Hispanic,Low,Male
adult,292,Hispanic,Low,Female
senior,272,Hispanic,Medium,Male
adult,201,African-American,Low,Male
senior,610,African-American,Medium,Male
adult,111,Caucasian,Medium,Male
senior,3,African-American,Low,Male
adult,33,African-American,High,Female
young,11,Caucasian,High,Male
adult,142,Other,Low,Male
young,133,African-American,High,Male
senior,52,African-American,Low,Male
adult,342,African-American,Low,Male
young,66,Caucasian,High,Male
young,375,Caucasian,Low,Female
adult,80,Caucasian,Low,Male
adult,366,African-American,Medium,Male
adult,35,African-American,Low,Male
adult,115,Caucasian,Medium,Male
young,750,Hispanic,High,Male
young,126,African-American,Medium,Male
adult,168,Caucasian,Medium,Male
young,635,African-American,High,Male
senior,266,Caucasian,Medium,Male
adult,620,African-American,High,Male
adult,712,Caucasian,Low,Male
adult,840,African-American,Medium,Male
adult,143,African-American,Medium,Female
adult,761,African-American,High,Male
senior,144,African-American,Low,Male
adult,92,African-American,Low,Male
young,748,African-American,High,Male
young,194,African-American,Medium,Male
adult,508,Caucasian,Low,Male
young,6,Caucasian,Medium,Male
adult,1727,African-American,High,Male
adult,148,Caucasian,Low,Male
adult,278,African-American,Low,Female
senior,269,African-American,Medium,Male
adult,705,African-American,Low,Male
adult,199,African-American,Low,Male
adult,421,African-American,High,Female
young,46,African-American,High,Male
adult,686,Hispanic,Low,Male
adult,187,Caucasian,High,Male
adult,602,Other,Low,Male
senior,406,Hispanic,Low,Male
adult,230,Caucasian,High,Male
young,871,Caucasian,Low,Male
adult,398,Caucasian,Low,Female
young,248,African-American,Low,Male
adult,384,African-American,Medium,Male
young,118,African-American,Medium,Male
senior,50,African-American,Medium,Male
adult,116,African-American,Medium,Male
adult,358,Caucasian,Low,Male
adult,374,Caucasian,High,Male
young,239,African-American,Low,Male
adult,245,Hispanic,Low,Male
adult,59,Hispanic,Low,Female
senior,119,Caucasian,Low,Male
